Lab_Number,sample_description,parser_output,prediction,ground_truth
P1502976,"Poziom cynku i fosforu lekko podwyższony, pozostałe parametry znajdują się w 
dopuszczalnym przedziale.

Zalecenia i wnioski:

Proszę obserwować zmiany w następnej analizie. Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej.","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""cynk"": ""lekko_podniesiony"", ""fosfor"": ""lekko_podniesiony""}",1,W NORMIE
P1502977,"Poziom cynku i fosforu lekko podwyższony, pozostałe parametry znajdują się w 
dopuszczalnym przedziale.

Zalecenia i wnioski:

Proszę obserwować zmiany w następnej analizie. Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""cynk"": ""lekko_podniesiony"", ""fosfor"": ""lekko_podniesiony""}",1,W NORMIE
P1502983,"Poziom cynku i fosforu podwyższony, trend jednak jest stabilny. Wszystkie 
pozostałe oznaczenie znajdują się w normalnym, dopuszczalnym przedziale.

Zalecenia i wnioski:
Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie 
z przyjętym harmonogramem diagnostyki olejowej.","{""cynk"": ""podniesiony"", ""fosfor"": ""podniesiony""}",1,W NORMIE
P1503411,"Zawartość wody w normie. Poziom miedzi  podniesiony.  Oznaczona lepkość w 
normie. Nie stwierdzono zanieczyszczenia  glikolem. Temperatura zapłonu w 
normie. Zawartość paliwa lekko podniesiona, w granicach normy.

Wnioski i zalecenia:  
Wszystkie oznaczone parametry znajdują się w dopuszczalnym przedziale. Proszę 
obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej.","{""woda"": ""w_normie"", ""miedź"": ""podniesiony"", ""lepkość"": ""w_normie"", ""glikol"": ""brak_wykrycia"", ""temperatura_zapłonu"": ""w_normie"", ""paliwo"": ""lekko_podniesiony""}",2,W NORMIE
P1503677,"Poziom cynku i   fosforu podwyższony, na charakterystyce trendu poziom cynku i 
fosforu stabilny. Wszystkie pozostałe oznaczenie znajdują się w normalnym, 
dopuszczalnym przedziale. 

Zalecenia i wnioski:
Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie 
z przyjętym harmonogramem diagnostyki olejowej.","{""cynk"": ""podniesiony"", ""fosfor"": ""podniesiony""}",2,W NORMIE
P1503735,"Oznaczona lepkość w normie. Temperatura zapłonu nieznacznie poniżej wymagań. 
Poziom krzemu lekko podniesiony, mieści się jednak w zakresie dopuszczalnym. 
Wszystkie pozostałe oznaczenia w normie.

Zalecenia i wnioski:
Proszę obserwować zmiany w następnej analizie. W celu obserwacji trendu 
wykonać badanie kolejnej zgodnie z przyjętym programem diagnostyki olejowej.","{""lepkość"": ""w_normie"", ""temperatura_zapłonu"": ""obniżony"", ""krzem"": ""lekko_podniesiony""}",1,W NORMIE
P1503751,"Poziom miedzi lekko podniesiony, trend stabilny. Temperatura zapłonu 
nieznacznie poniżej wymagań. Wszystkie pozostałe o
znaczone parametry znajdują się w dopuszczalnym przedziale. 

Wnioski i zalecenia: 
Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie 
z przyjętym harmonogramem diagnostyki olejowej.","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""miedź"": ""lekko_podniesiony"", ""temperatura_zapłonu"": ""obniżony""}",1,W NORMIE
P1600037,"Poziom cynku i fosforu podniesiony, trend stabilny. Wszystkie oznaczenie 
znajdują się w normalnym, dopuszczalnym przedziale. 

Zalecenia i wnioski:
Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie 
z przyjętym harmonogramem diagnostyki olejowej.","{""cynk"": ""podniesiony"", ""fosfor"": ""podniesiony""}",1,W NORMIE
P1600135,"Poziom metalicznych produktów zużycia w normie. Poziom krzemu podniesiony, 
wskazuje na komponenty biogazu i/lub kurz z otoczenia, elastyczne 
uszczelniania, materiały montażowe, bądź smar na bazie silikonu. Oznaczona 
lepkość w normie. Rezerwa alkaliczna (liczba zasadowa) w normie. Liczba kwasowa 
lekko podniesiona.

Zalecenia i wnioski:
Olej kwalifikuje się do dalszej eksploatacji, wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej, nie później niż za 200h 
pracy.","{""metale_zużyciowe"": ""w_normie"", ""krzem"": ""podniesiony"", ""lepkość"": ""w_normie"", ""liczba_zasadowa"": ""w_normie"", ""rezerwa_alkaliczna"": ""w_normie"", ""liczba_kwasowa"": ""lekko_podniesiony""}",2,W NORMIE
P1600158,"Poziom paliwa lekko podniesiony. Temperatura zapłonu nieznacznie poniżej 
wymagań. Wszystkie pozostałe oznaczenia znajdują się w normalnym/dopuszczalnym 
przedziale.

Zalecenia i wnioski:

Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie 
z przyjętym harmonogramem diagnostyki olejowej.","{""paliwo"": ""lekko_podniesiony"", ""temperatura_zapłonu"": ""obniżony""}",1,W NORMIE
P1600164,"Poziom cynku i fosforu lekko podniesiony (wskazują na olej innego typu), trend
 stabilny. Wszystkie pozostałe oznaczone parametry w normie, wykazują 
stabilny trend. 

Zalecenia i wnioski: 
Na dolewki stosować 
olej zgodny z DTR. Przesłać do badania kolejną próbkę zgodnie z 
przyjętym harmonogramem diagnostyki olejowej.","{""pozostałe_parametry"": ""w_normie"", ""cynk"": ""lekko_podniesiony"", ""fosfor"": ""lekko_podniesiony""}",1,W NORMIE
P1600165,"Poziom cynku i fosforu lekko podniesiony (wskazują na olej innego typu), trend
 stabilny. Wszystkie pozostałe oznaczone parametry w normie, wykazują 
stabilny trend. 

Zalecenia i wnioski: 
Na dolewki stosować 
olej zgodny z DTR. Przesłać do badania kolejną próbkę zgodnie z 
przyjętym harmonogramem diagnostyki olejowej.","{""pozostałe_parametry"": ""w_normie"", ""cynk"": ""lekko_podniesiony"", ""fosfor"": ""lekko_podniesiony""}",1,W NORMIE
P1600636,"Poziom cynku i fosforu podniesiony. Pozostałe parametry  znajdują się w 
normalnym/dopuszczalnym przedziale, prezentują stabilny trend.

Zalecenia i wnioski: 
W celu obserwacji trendu przesłać do badania kolejną próbkę zgodnie z 
przyjętym harmonogramem diagnostyki olejowej.","{""cynk"": ""podniesiony"", ""fosfor"": ""podniesiony""}",1,W NORMIE
P1600637,"Poziom cynku i fosforu podniesiony, trend stabilny.  Pozostałe parametry  
znajdują się w normalnym/dopuszczalnym przedziale, prezentują stabilny trend.

Zalecenia i wnioski: 
W celu obserwacji trendu przesłać do badania kolejną próbkę zgodnie z 
przyjętym harmonogramem diagnostyki olejowej.","{""cynk"": ""podniesiony"", ""fosfor"": ""podniesiony""}",1,W NORMIE
P1600751,"W efekcie zużycia i/lub korozji poziom miedzi i ołowiu podniesiony. Wszystkie 
oznaczone parametry znajdują się w normalnym dopuszczalnym przedziale.

Zalecenia i wnioski:
Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej.","{""miedź"": ""podniesiony"", ""ołów"": ""podniesiony""}",1,W NORMIE
P1600881,"Poziom cynku i fosforu podniesiony, trend stabilny. Wszystkie pozostałe 
oznaczenia znajdują się w normalnym zakresie.

Zalecenia i wnioski:
Na dolewki stosować olej zgodny z DTR. Przesłać do badania kolejną próbkę 
zgodnie z przyjętym harmonogramem diagnostyki olejowej.","{""cynk"": ""podniesiony"", ""fosfor"": ""podniesiony""}",1,W NORMIE
P1600897,"Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków 
(cząstki o rozmiarach <5um) w normie. Poziom krzemu podwyższony, 
może pochodzić z komponentów  biogazu i/lub wskazywać na kurz z 
otoczenia i/lub elastyczne uszczelniania, materiały 
montażowe, bądź olej/smar na bazie silikonu, trend stabilny. Zawartość wody w 
normie.
Oznaczona lepkość w normie. Liczba zasadowa lekko obniżona. Liczba 
kwasowa lekko podniesiona. Nie stwierdzono niepokojącej oksydacji.

Wnioski i zalecenia:
Olej kwalifikuje się do dalszej eksploatacji. Prowadzić regularny 
monitoring własności fizykochemicznych oleju. Przysłać do badania 
kolejną próbkę oleju nie później niż po 250h pracy","{""metale_zużyciowe"": ""w_normie"", ""krzem"": ""podniesiony"", ""woda"": ""w_normie"", ""lepkość"": ""w_normie"", ""liczba_zasadowa"": ""lekko_obniżony"", ""liczba_kwasowa"": ""lekko_podniesiony"", ""oksydacja"": ""brak_wykrycia""}",2,W NORMIE
P1600910,"Poziom metalicznych produktów zużycia w normie.  Poziom krzemu lekko 
podniesiony, wskazuje na komponenty biogazu i/lub kurz z otoczenia, elastyczne 
uszczelniania, materiały montażowe, bądź smar na bazie silikonu. Oznaczona 
lepkość kinematyczna w normie. Rezerwa alkaliczna (liczba zasadowa) w normie. 
Liczba kwasowa lekko podniesiona.

Zalecenia i wnioski:
Olej kwalifikuje się do dalszej eksploatacji, wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej, nie później niż za 200h 
pracy.","{""metale_zużyciowe"": ""w_normie"", ""krzem"": ""lekko_podniesiony"", ""lepkość"": ""w_normie"", ""liczba_zasadowa"": ""w_normie"", ""rezerwa_alkaliczna"": ""w_normie"", ""liczba_kwasowa"": ""lekko_podniesiony""}",0,W NORMIE
P1600911,"Poziom metalicznych produktów zużycia w normie, oznaczone metale zużyciowe 
wykazują stabilny trend. Poziom krzemu podniesiony,  trend stabilny, wskazuje 
na komponenty biogazu i/lub kurz z otoczenia, elastyczne uszczelniania, 
materiały montażowe, bądź smar na bazie silikonu. Lepkość kinematyczna w 
normie. Liczba zasadowa w normie, nieznaczny spadek od ostatniego badania.  
Liczba kwasowa podniesiona, nie krytycznie

Zalecenia i wnioski:
Olej kwalifikuje się do dalszej eksploatacji, wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej, nie później niż za 200h 
pracy.","{""metale_zużyciowe"": ""w_normie"", ""krzem"": ""podniesiony"", ""lepkość"": ""w_normie"", ""liczba_zasadowa"": ""w_normie"", ""liczba_kwasowa"": ""podniesiony""}",0,W NORMIE
P1600912,"Poziom metalicznych produktów zużycia w normie. Poziom krzemu podniesiony, 
wskazuje na komponenty biogazu i/lub kurz z otoczenia, elastyczne 
uszczelniania, materiały montażowe, bądź smar na bazie silikonu. Oznaczona 
lepkość kinematyczna w normie. Rezerwa alkaliczna (liczba zasadowa) w normie. 
Liczba kwasowa podniesiona, nie krytycznie

Zalecenia i wnioski:
Wykonać badanie kolejnej próbki za 200h pracy.","{""metale_zużyciowe"": ""w_normie"", ""krzem"": ""podniesiony"", ""lepkość"": ""w_normie"", ""liczba_zasadowa"": ""w_normie"", ""rezerwa_alkaliczna"": ""w_normie"", ""liczba_kwasowa"": ""podniesiony""}",2,W NORMIE
P1601074,"Poziom cynku i fosforu podniesiony, trend stabilny. Wszystkie pozostałe 
oznaczone pierwiastki znajdują się w dopuszczalnych przedziałach.

Zalecenia i wnioski: 
Olej kwalifikuje się do dalszej eksploatacji. Obserwować zmiany w kolejnej 
analizie. Przesłać do badania kolejną próbkę zgodnie z przyjętym harmonogramem 
diagnostyki olejowej.","{""cynk"": ""podniesiony"", ""fosfor"": ""podniesiony""}",1,W NORMIE
P1601093,"Poziom krzemu podniesiony. Poziom miedzi lekko podniesiony. Wszystkie pozostałe 
oznaczone parametry znajdują się w dopuszczalnym przedziale.

Zalecenia i wnioski:
Dokonać przeglądu systemu doprowadzenia powietrza. Obserwować zmiany w 
następnej analizie.  Wykonać badanie kolejnej próbki zgodnie z przyjętym 
programem diagnostyki olejowej.","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""krzem"": ""podniesiony"", ""miedź"": ""lekko_podniesiony""}",1,W NORMIE
P1601094,"Poziom cynku i fosforu podniesiony, trend stabilny. Wszystkie pozostałe 
oznaczone pierwiastki znajdują się w dopuszczalnych przedziałach.

Zalecenia i wnioski: 
Olej kwalifikuje się do dalszej eksploatacji. Obserwować zmiany w kolejnej 
analizie. Przesłać do badania kolejną próbkę zgodnie z przyjętym harmonogramem 
diagnostyki olejowej.","{""cynk"": ""podniesiony"", ""fosfor"": ""podniesiony""}",1,W NORMIE
P1601095,"Poziom cynku i fosforu lekko  podniesiony, trend stabilny. Wszystkie pozostałe 
oznaczone pierwiastki znajdują się w dopuszczalnych przedziałach.

Zalecenia i wnioski: 
Olej kwalifikuje się do dalszej eksploatacji. Obserwować zmiany w kolejnej 
analizie. Przesłać do badania kolejną próbkę zgodnie z przyjętym harmonogramem 
diagnostyki olejowej.","{""cynk"": ""lekko_podniesiony"", ""fosfor"": ""lekko_podniesiony""}",1,W NORMIE
P1601173,"Poziom miedzi lekko podniesiony. Temperatura zapłonu poniżej wymagań. Pozostałe 
oznaczone parametry znajdują się w normalnym dopuszczalnym przedziale.

Zalecenia i wnioski:
Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej.","{""miedź"": ""lekko_podniesiony"", ""temperatura_zapłonu"": ""obniżony""}",1,W NORMIE
P1601203,"Poziom  fosforu i cynku  podwyższony, trend stabilny. Wszystkie pozostałe 
oznaczenie znajdują się w normalnym, dopuszczalnym przedziale.

Zalecenia i wnioski:
Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie 
z przyjętym harmonogramem diagnostyki olejowej.","{""cynk"": ""podniesiony"", ""fosfor"": ""podniesiony""}",0,W NORMIE
P1601207,"Poziom  fosforu i cynku lekko  podwyższony, trend stabilny. Wszystkie pozostałe 
oznaczenie znajdują się w normalnym, dopuszczalnym przedziale. 

Zalecenia i wnioski:
Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie 
z przyjętym harmonogramem diagnostyki olejowej.","{""cynk"": ""lekko_podniesiony"", ""fosfor"": ""lekko_podniesiony""}",1,W NORMIE
P1601268,"Poziom metalicznych produktów zużycia w normie, oznaczone metale zużyciowe 
wykazują stabilny trend. Poziom krzemu lekko podniesiony,  trend stabilny, 
wskazuje na komponenty biogazu i/lub kurz z otoczenia, elastyczne 
uszczelniania, materiały montażowe, bądź smar na bazie silikonu. Lepkość 
kinematyczna w normie. Liczba zasadowa w normie. Liczba kwasowa podniesiona, 
trend stabilny.

Zalecenia i wnioski:
Olej kwalifikuje się do dalszej eksploatacji, wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej, nie później niż za 200h 
pracy.","{""metale_zużyciowe"": ""w_normie"", ""krzem"": ""lekko_podniesiony"", ""lepkość"": ""w_normie"", ""liczba_zasadowa"": ""w_normie"", ""liczba_kwasowa"": ""podniesiony""}",0,W NORMIE
P1601269,"Poziom metalicznych produktów zużycia w normie, oznaczone metale zużyciowe 
wykazują stabilny trend. Poziom krzemu lekko podniesiony,  trend stabilny, 
wskazuje na komponenty biogazu i/lub kurz z otoczenia, elastyczne 
uszczelniania, materiały montażowe, bądź smar na bazie silikonu. Lepkość 
kinematyczna w normie. Liczba zasadowa w normie. Liczba kwasowa podniesiona, 
trend stabilny.

Zalecenia i wnioski:
Olej kwalifikuje się do dalszej eksploatacji, wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej, nie później niż za 200h 
pracy.","{""metale_zużyciowe"": ""w_normie"", ""krzem"": ""lekko_podniesiony"", ""lepkość"": ""w_normie"", ""liczba_zasadowa"": ""w_normie"", ""liczba_kwasowa"": ""podniesiony""}",0,W NORMIE
P1601270,"Poziom metalicznych produktów zużycia w normie, oznaczone metale zużyciowe 
wykazują stabilny trend. Poziom krzemu lekko podniesiony,  trend stabilny, 
wskazuje na komponenty biogazu i/lub kurz z otoczenia, elastyczne 
uszczelniania, materiały montażowe, bądź smar na bazie silikonu. Lepkość 
kinematyczna w normie. Liczba zasadowa w normie. Liczba kwasowa podniesiona.

Zalecenia i wnioski:
Olej kwalifikuje się do dalszej eksploatacji, wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej, nie później niż za 200h 
pracy.","{""metale_zużyciowe"": ""w_normie"", ""krzem"": ""lekko_podniesiony"", ""lepkość"": ""w_normie"", ""liczba_zasadowa"": ""w_normie"", ""liczba_kwasowa"": ""podniesiony""}",0,W NORMIE
P1601416,"Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki 
o rozmiarach <5um) w normie. Poziom sodu lekko podwyższony, możliwe 
pochodzenie: jako pochodna zanieczyszczenia wodą i/lub glikolu (jako dodatek 
antykorozyjny) i/lub z powietrza, trend stabilny. Temperatura zapłonu 
nieznacznie  poniżej wymagań.

Wnioski i zalecenia:  
W celu obserwacji trendu proszę wykonać badanie kolejnej próbki zgodnie z 
przyjętym harmonogramem diagnostyki olejowej.","{""metale_zużyciowe"": ""w_normie"", ""glikol"": ""lekko_podniesiony"", ""sód"": ""lekko_podniesiony"", ""temperatura_zapłonu"": ""obniżony""}",1,W NORMIE
P1601492,"Poziom  fosforu i cynku  podwyższony, trend stabilny. Wszystkie pozostałe 
oznaczenie znajdują się w normalnym, dopuszczalnym przedziale.

Zalecenia i wnioski:
Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie 
z przyjętym harmonogramem diagnostyki olejowej.","{""cynk"": ""podniesiony"", ""fosfor"": ""podniesiony""}",0,W NORMIE
P1601493,"Poziom  fosforu i cynku  podwyższony, trend stabilny. Wszystkie pozostałe 
oznaczenie znajdują się w dopuszczalnym przedziale.

Zalecenia i wnioski:
Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie 
z przyjętym harmonogramem diagnostyki olejowej.","{""cynk"": ""podniesiony"", ""fosfor"": ""podniesiony""}",1,W NORMIE
P1601594,"Poziom metalicznych produktów zużycia w normie. Poziom krzemu lekko 
podniesiony, wskazuje na komponenty biogazu i/lub kurz z otoczenia, elastyczne 
uszczelniania, materiały montażowe, bądź smar na bazie silikonu. Lepkość 
kinematyczna w normie. Liczba kwasowa podniesiona. Liczba zasadowa w normie.

Zalecenia i wnioski:
Olej kwalifikuje się do dalszej eksploatacji, wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej, nie później niż za 200h 
pracy.","{""metale_zużyciowe"": ""w_normie"", ""krzem"": ""lekko_podniesiony"", ""lepkość"": ""w_normie"", ""liczba_kwasowa"": ""podniesiony"", ""liczba_zasadowa"": ""w_normie""}",2,W NORMIE
P1601595,"Poziom metalicznych produktów zużycia w normie. Poziom krzemu lekko 
podniesiony, wskazuje na komponenty biogazu i/lub kurz z otoczenia, elastyczne 
uszczelniania, materiały montażowe, bądź smar na bazie silikonu. Lepkość 
kinematyczna w normie. Liczba kwasowa podniesiona. Liczba zasadowa w normie.

Zalecenia i wnioski:
Olej kwalifikuje się do dalszej eksploatacji, wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej, nie później niż za 200h 
pracy.","{""metale_zużyciowe"": ""w_normie"", ""krzem"": ""lekko_podniesiony"", ""lepkość"": ""w_normie"", ""liczba_kwasowa"": ""podniesiony"", ""liczba_zasadowa"": ""w_normie""}",2,W NORMIE
P1601596,"Poziom metalicznych produktów zużycia w normie. Poziom krzemu lekko 
podniesiony, wskazuje na komponenty biogazu i/lub kurz z otoczenia, elastyczne 
uszczelniania, materiały montażowe, bądź smar na bazie silikonu. Lepkość 
kinematyczna w normie. Liczba kwasowa podniesiona. Liczba zasadowa w normie.

Zalecenia i wnioski:
Olej kwalifikuje się do dalszej eksploatacji, wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej, nie później niż za 200h 
pracy.","{""metale_zużyciowe"": ""w_normie"", ""krzem"": ""lekko_podniesiony"", ""lepkość"": ""w_normie"", ""liczba_kwasowa"": ""podniesiony"", ""liczba_zasadowa"": ""w_normie""}",2,W NORMIE
P1601687,"Poziom cynku i fosforu lekko  podniesiony, trend stabilny. Wszystkie pozostałe 
oznaczone pierwiastki znajdują się w dopuszczalnych przedziałach.

Zalecenia i wnioski: 
Olej kwalifikuje się do dalszej eksploatacji. Obserwować zmiany w kolejnej 
analizie. Przesłać do badania kolejną próbkę zgodnie z przyjętym harmonogramem 
diagnostyki olejowej.","{""cynk"": ""lekko_podniesiony"", ""fosfor"": ""lekko_podniesiony""}",0,W NORMIE
P1602000,"Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki 
o rozmiarach <5um) wykazuje lekko podniesiony poziom żelaza i ołowiu. Indeks 
PQ, informujący o magnetycznych ferrocząstkach (niezależnie od rozmiaru 
cząstek) w normie. Własności reologiczne (lepkość i wskaźnik lepkości) w 
normie. Liczba kwasowo oraz liczba zasadowa w normie. Zawartość wody w normie.

Zalecenia i wnioski:
Wszystkie oznaczenia znajdują się na oczekiwanym poziomie. Obserwować zmiany w 
następnej analizie, wykonać badanie kolejnej próbki zgodnie z przyjętym 
programem diagnostyki olejowej, nie później niż za 50 mth i/lub po kolejnej 
usłudze.","{""żelazo"": ""lekko_podniesiony"", ""ołów"": ""lekko_podniesiony"", ""metale_zużyciowe"": ""lekko_podniesiony"", ""pq_indeks"": ""w_normie"", ""lepkość"": ""w_normie"", ""wskaźnik_lepkości"": ""w_normie"", ""liczba_kwasowa"": ""w_normie"", ""liczba_zasadowa"": ""w_normie"", ""woda"": ""w_normie""}",0,W NORMIE
P1602004,"Poziom metalicznych produktów zużycia w normie. Poziom krzemu lekko 
podniesiony, wskazuje na komponenty biogazu i/lub kurz z otoczenia, elastyczne 
uszczelniania, materiały montażowe, bądź smar na bazie silikonu. Lepkość 
kinematyczna w normie. Liczba kwasowa podniesiona. Liczba zasadowa w normie.

Zalecenia i wnioski:
Olej kwalifikuje się do dalszej eksploatacji, wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej, nie później niż za 200h 
pracy.","{""metale_zużyciowe"": ""w_normie"", ""krzem"": ""lekko_podniesiony"", ""lepkość"": ""w_normie"", ""liczba_kwasowa"": ""podniesiony"", ""liczba_zasadowa"": ""w_normie""}",2,W NORMIE
