Lab_Number,sample_description,parser_output,prediction,ground_truth
P1601594,"Poziom metalicznych produktów zużycia w normie. Poziom krzemu lekko 
podniesiony, wskazuje na komponenty biogazu i/lub kurz z otoczenia, elastyczne 
uszczelniania, materiały montażowe, bądź smar na bazie silikonu. Lepkość 
kinematyczna w normie. Liczba kwasowa podniesiona. Liczba zasadowa w normie.

Zalecenia i wnioski:
Olej kwalifikuje się do dalszej eksploatacji, wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej, nie później niż za 200h 
pracy.","{""metale_zużyciowe"": ""w_normie"", ""krzem"": ""lekko_podniesiony"", ""lepkość"": ""w_normie"", ""liczba_kwasowa"": ""podniesiony"", ""liczba_zasadowa"": ""w_normie""}",2,W NORMIE
P1601595,"Poziom metalicznych produktów zużycia w normie. Poziom krzemu lekko 
podniesiony, wskazuje na komponenty biogazu i/lub kurz z otoczenia, elastyczne 
uszczelniania, materiały montażowe, bądź smar na bazie silikonu. Lepkość 
kinematyczna w normie. Liczba kwasowa podniesiona. Liczba zasadowa w normie.

Zalecenia i wnioski:
Olej kwalifikuje się do dalszej eksploatacji, wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej, nie później niż za 200h 
pracy.","{""metale_zużyciowe"": ""w_normie"", ""krzem"": ""lekko_podniesiony"", ""lepkość"": ""w_normie"", ""liczba_kwasowa"": ""podniesiony"", ""liczba_zasadowa"": ""w_normie""}",2,W NORMIE
P1601596,"Poziom metalicznych produktów zużycia w normie. Poziom krzemu lekko 
podniesiony, wskazuje na komponenty biogazu i/lub kurz z otoczenia, elastyczne 
uszczelniania, materiały montażowe, bądź smar na bazie silikonu. Lepkość 
kinematyczna w normie. Liczba kwasowa podniesiona. Liczba zasadowa w normie.

Zalecenia i wnioski:
Olej kwalifikuje się do dalszej eksploatacji, wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej, nie później niż za 200h 
pracy.","{""metale_zużyciowe"": ""w_normie"", ""krzem"": ""lekko_podniesiony"", ""lepkość"": ""w_normie"", ""liczba_kwasowa"": ""podniesiony"", ""liczba_zasadowa"": ""w_normie""}",2,W NORMIE
P1602000,"Poziom metalicznych produktów zużycia oznaczony w badaniu pierwiastków (cząstki 
o rozmiarach <5um) wykazuje lekko podniesiony poziom żelaza i ołowiu. Indeks 
PQ, informujący o magnetycznych ferrocząstkach (niezależnie od rozmiaru 
cząstek) w normie. Własności reologiczne (lepkość i wskaźnik lepkości) w 
normie. Liczba kwasowo oraz liczba zasadowa w normie. Zawartość wody w normie.

Zalecenia i wnioski:
Wszystkie oznaczenia znajdują się na oczekiwanym poziomie. Obserwować zmiany w 
następnej analizie, wykonać badanie kolejnej próbki zgodnie z przyjętym 
programem diagnostyki olejowej, nie później niż za 50 mth i/lub po kolejnej 
usłudze.","{""żelazo"": ""lekko_podniesiony"", ""ołów"": ""lekko_podniesiony"", ""metale_zużyciowe"": ""lekko_podniesiony"", ""pq_indeks"": ""w_normie"", ""lepkość"": ""w_normie"", ""wskaźnik_lepkości"": ""w_normie"", ""liczba_kwasowa"": ""w_normie"", ""liczba_zasadowa"": ""w_normie"", ""woda"": ""w_normie""}",0,W NORMIE
P1602004,"Poziom metalicznych produktów zużycia w normie. Poziom krzemu lekko 
podniesiony, wskazuje na komponenty biogazu i/lub kurz z otoczenia, elastyczne 
uszczelniania, materiały montażowe, bądź smar na bazie silikonu. Lepkość 
kinematyczna w normie. Liczba kwasowa podniesiona. Liczba zasadowa w normie.

Zalecenia i wnioski:
Olej kwalifikuje się do dalszej eksploatacji, wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej, nie później niż za 200h 
pracy.","{""metale_zużyciowe"": ""w_normie"", ""krzem"": ""lekko_podniesiony"", ""lepkość"": ""w_normie"", ""liczba_kwasowa"": ""podniesiony"", ""liczba_zasadowa"": ""w_normie""}",2,W NORMIE
P1602061,"Poziom metalicznych produktów zużycia w normie. Poziom krzemu lekko 
podniesiony, wskazuje na komponenty biogazu i/lub kurz z otoczenia, elastyczne 
uszczelniania, materiały montażowe, bądź smar na bazie silikonu. Lepkość 
kinematyczna w normie. Liczba kwasowa podniesiona. Liczba zasadowa w normie.

Zalecenia i wnioski:
Olej kwalifikuje się do dalszej eksploatacji, wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej, nie później niż za 200h 
pracy.","{""metale_zużyciowe"": ""w_normie"", ""krzem"": ""lekko_podniesiony"", ""lepkość"": ""w_normie"", ""liczba_kwasowa"": ""podniesiony"", ""liczba_zasadowa"": ""w_normie""}",2,W NORMIE
P1602382,"Poziom metalicznych produktów zużycia w normie. Poziom krzemu lekko 
podniesiony, wskazuje na komponenty biogazu i/lub kurz z otoczenia, elastyczne 
uszczelniania, materiały montażowe, bądź smar na bazie silikonu. Lepkość 
kinematyczna w normie. Liczba kwasowa podniesiona. Liczba zasadowa w normie.

Zalecenia i wnioski:
Olej kwalifikuje się do dalszej eksploatacji, wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki olejowej, nie później niż za 200h 
pracy.","{""metale_zużyciowe"": ""w_normie"", ""krzem"": ""lekko_podniesiony"", ""lepkość"": ""w_normie"", ""liczba_kwasowa"": ""podniesiony"", ""liczba_zasadowa"": ""w_normie""}",0,W NORMIE
P1602595,"Poziom metalicznych produktów zużycia w normie. Oznaczona lepkość w normie. Nie 
stwierdzono zanieczyszczenia  glikolem. Temperatura zapłonu w normie. Zawartość 
paliwa lekko podniesiona.

Wnioski i zalecenia:  
Proszę obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej 
próbki zgodnie z przyjętym programem diagnostyki olejowej.","{""metale_zużyciowe"": ""w_normie"", ""lepkość"": ""w_normie"", ""glikol"": ""brak_wykrycia"", ""temperatura_zapłonu"": ""w_normie"", ""paliwo"": ""lekko_podniesiony""}",1,W NORMIE
P1603881,"Oznaczona lepkość w normie. Zawartość metalicznych produktów zużycia w normie. 
Nie stwierdzono obecności glikolu. Zawartość wody w normie. Lekko podniesiony 
poziom krzemu - trend stabilny. Temperatura zapłonu obniżona.

Zalecenia i wnioski:
Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie 
z przyjętym harmonogramem diagnostyki olejowej.","{""lepkość"": ""w_normie"", ""metale_zużyciowe"": ""w_normie"", ""glikol"": ""brak_wykrycia"", ""woda"": ""w_normie"", ""krzem"": ""lekko_podniesiony"", ""temperatura_zapłonu"": ""obniżony""}",0,W NORMIE
P1603905,"Oznaczona lepkość w normie. Lekko podniesiony poziom miedzi. Nie stwierdzono 
obecności glikolu. Zawartość wody w normie.

Zalecenia i wnioski:
Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie 
z przyjętym harmonogramem diagnostyki olejowej.","{""lepkość"": ""w_normie"", ""miedź"": ""lekko_podniesiony"", ""glikol"": ""brak_wykrycia"", ""woda"": ""w_normie""}",0,W NORMIE
P1604093,"Olej ma ciemną barwę. Oznaczona lepkość w normie. Liczba kwasowa i  zasadowa w 
normie. Oksydacja oraz sulfacja w normie. Nitracja nieznacznie podniesiona. 
Poziom  metalicznych produktów zużycia w normie. Zawartość wody w normie. Nie 
stwierdzono obecności glikolu oraz sadzy.

Wnioski i zalecenia:
Olej nadaje się do dalszej eksploatacji. Oznaczone parametry wskazują na dobrą 
kondycję oleju i urządzenia. Obserwować  zmiany w następnej analizie. Wykonać 
kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej w celu 
obserwacji trendu. Prowadzić ewidencję dot. dat wymian oleju.","{""lepkość"": ""w_normie"", ""liczba_kwasowa"": ""w_normie"", ""oksydacja"": ""w_normie"", ""sulfacja"": ""w_normie"", ""nitracja"": ""nieznacznie_podniesiony"", ""metale_zużyciowe"": ""w_normie"", ""woda"": ""w_normie"", ""glikol"": ""brak_wykrycia"", ""sadza"": ""brak_wykrycia""}",1,W NORMIE
P1604158,"Oznaczona lepkość w normie. Zawartość wody w normie. Poziom metalicznych 
produktów zużycia w normie. Nie stwierdzono obecności glikolu. Zawartość paliwa 
w normie. Temperatura zapłonu lekko obniżona.

Zalecenia i wnioski:
Proszę obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie 
z przyjętym harmonogramem diagnostyki olejowej.","{""lepkość"": ""w_normie"", ""woda"": ""w_normie"", ""metale_zużyciowe"": ""w_normie"", ""glikol"": ""brak_wykrycia"", ""paliwo"": ""w_normie"", ""temperatura_zapłonu"": ""lekko_obniżony""}",1,W NORMIE
P1604275,"Poziom metalicznych produktów zużycia w normie. Oznaczona lepkość w normie. 
Liczba kwasowa i zasadowa wskazują na bezpieczny poziom rezerwy alkalicznej. 
Zaobserwowano lekko podniesioną oksydację oraz nitrację. Nie stwierdzono 
niepokojącej sulfacji.  Indeks PQ  w normie.

Wnioski i zalecenia:
Przy zachowaniu normalnych warunków eksploatacyjnych oraz czynności 
obsługowych (stały monitoring własności fizykochemicznych) olej kwalifikuje się 
do eksploatacji. Obserwować zmiany w kolejnym badaniu. Wykonać kolejne badanie 
zgodnie z  przyjętym harmonogramem diagnostyki olejowej.","{""metale_zużyciowe"": ""w_normie"", ""lepkość"": ""w_normie"", ""oksydacja"": ""lekko_podniesiony"", ""nitracja"": ""lekko_podniesiony"", ""sulfacja"": ""brak_wykrycia"", ""pq_indeks"": ""w_normie""}",1,W NORMIE
P1604804,"Właściwości reologiczne w normie. Liczba kwasowa podwyższona. Temperatura 
zapłonu w normie. Indeks PQ, informujący o magnetycznych ferrocząstkach 
(niezależnie od rozmiaru cząstek) w normie. W badanej próbce zaobserwowano 
obecność krzemu (możliwe pochodzenie to zanieczyszczenia z otoczenia lub 
elastyczne uszczelnienia na bazie silikonu) oraz sodu (może pochodzić z 
otoczenia, układu chłodzenia lub też być składnikiem oleju). Poziom miedzi 
znacząco podniesiony (możliwe pochodzenie to procesy takie jak zużycie i/lub 
korozja). Poziom ołowiu jest lekko podniesiony.

Wnioski i zalecenia:
Nie posiadamy referencji oleju świeżego, dlatego też nie możliwe jest 
sporządzenie precyzyjnego komentarza na temat możliwych zmian dodatków oraz 
widma IR (z tego powodu nie możliwe jest także określenie oksydacji). Proszę 
przysłać referencyjną próbkę oleju świeżego. Prowadzić ewidencję dot. 
uzupełnień, daty wymiany oleju oraz całkowitego czasu pracy urządzenia.Powiązać 
wykryte metale z metalurgią układu olejowego, przeprowadzić jego kontrolę. Ze 
względu na wysoki poziom miedzi zalecam wymienić olej na świeży.","{""lepkość"": ""w_normie"", ""liczba_kwasowa"": ""podniesiony"", ""temperatura_zapłonu"": ""w_normie"", ""pq_indeks"": ""w_normie"", ""miedź"": ""podniesiony"", ""ołów"": ""lekko_podniesiony""}",2,UWAGA
P1605434,"Oznaczona lepkość w normie. Podniesiony poziom krzemu. Podniesiony poziom 
ołowiu - skokowy wzrost. Nie stwierdzono obecności glikolu. Lekko podniesiona 
zawartość paliwa. Obniżona temperatura zapłonu.

Wnioski i zalecenia:
Powiązać wykryte metale zużyciowe z metalurgią układu olejowego. 
Zanieczyszczenie krzemem może być spowodowane przedostawaniem się 
zanieczyszczeń z otoczenia (kurz/pył) do układu. Zalecam przeprowadzenie 
kontroli układu doprowadzania powietrza do silnika. Ze względu na dużą 
zawartość zanieczyszczeń oraz cząstek zużycia w oleju zalecam, jeśli jeszcze 
nie nastąpiła, wymianę oleju na świeży.","{""lepkość"": ""w_normie"", ""krzem"": ""podniesiony"", ""ołów"": ""podniesiony"", ""glikol"": ""brak_wykrycia"", ""paliwo"": ""lekko_podniesiony"", ""temperatura_zapłonu"": ""obniżony""}",2,UWAGA
P1700456,"Oznaczona lepkość w normie. Temperatura zapłonu obniżona. Zawartość oleju 
napędowego lekko podniesiona. Podniesiony poziom krzemu, wskazuje na kurz/pył z 
otoczenia. Znacznie podniesiony poziom ołowiu - wyraźny trend wzrostowy.

Wnioski i zalecenia:
Ze względu na dużą ilość zanieczyszczeń oraz produktów zużycia w oleju zalecam 
natychmiastową wymianę na świeży. Skontrolować układ doprowadzania powietrza do 
silnika (filtry). Wysoki poziom ołowiu może być spowodowany zużywaniem się 
m.in. łożysk ślizgowych. Wykonać kolejne badanie po przeprowadzeniu zabiegów 
korygujących.","{""lepkość"": ""w_normie"", ""temperatura_zapłonu"": ""obniżony"", ""olej_napędowy"": ""lekko_podniesiony"", ""krzem"": ""podniesiony"", ""ołów"": ""podniesiony""}",2,UWAGA
P1701435,"Poziom cząstek poszczególnych kategorii zużyciowych oraz cząstek 
niemetalicznych w optycznej analizie cząstek w normie.  Właściwości reologiczne 
(lepkość kinematyczna, wskaźnik lepkości) w normie. Klasa czystości w normie. 
Liczba kwasowa lekko podniesiona, liczba zasadowa zasadowa w normie. Olej 
posiada jeszcze odpowiednią rezerwę alkaliczną (wzajemna relacja liczby 
kwasowej i zasadowej). Zawartość wody w normie. Poziom metalicznych produktów 
zużycia w normie.  Indeks PQ, informujący o magnetycznych ferrocząstkach 
(niezależnie od rozmiaru cząstek) w normie. Zwartość stałych ciał obcych w 
normie.

Wnioski i zalecenia:
Nie posiadamy referencji oleju świeżego, dlatego nie możliwe jest sporządzenie 
precyzyjnego komentarza nt. możliwych zmian dodatków oraz widma IR (dlatego też 
nie możliwe jest oznaczenie oksydacji). Proszę przysłać referencyjną próbkę 
oleju świeżego do badań. Olej kwalifikuje się do dalszej eksploatacji bez 
podejmowania dodatkowych zabiegów korygujących. Proszę obserwować zmiany w 
kolejnym badaniu. Proszę przysłać kolejną próbkę do badań w celu weryfikacji 
trendów zmian zgodnie z przyjętym harmonogramem diagnostyki olejowej.","{""lepkość"": ""w_normie"", ""wskaźnik_lepkości"": ""w_normie"", ""klasa_czystości"": ""w_normie"", ""liczba_kwasowa"": ""lekko_podniesiony"", ""liczba_zasadowa"": ""lekko_podniesiony"", ""woda"": ""w_normie"", ""metale_zużyciowe"": ""w_normie"", ""pq_indeks"": ""w_normie"", ""stałe_ciała_obce"": ""w_normie""}",0,W NORMIE
P1701449,"Poziom cynku wyższy niż w referencji oleju świeżego, natomiast poziom fosforu 
jest niższy. Poziom cząstek poszczególnych kategorii zużyciowych oraz cząstek 
niemetalicznych w optycznej analizie cząstek w normie.  Właściwości reologiczne 
(lepkość kinematyczna, wskaźnik lepkość) w normie. Liczba kwasowa i zasadowa w 
normie. Olej posiada jeszcze wystarczającą rezerwę alkaliczna (wzajemna relacja 
liczby kwasowej i zasadowej). Klasa czystości w normie. Nie stwierdzono 
niepokojącej oksydacji. Poziom sodu jest lekko podniesiony (możliwe pochodzenie 
to zanieczyszczenia z otoczenia i/lub zanieczyszczenie innym środkiem smarnym). 
Zawartość wody w normie. Poziom metalicznych produktów zużycia w normie. 
Zawartość stałych ciał obcych w normie. Indeks PQ informujący o zawartości 
cząstek ferromagnetycznych  w normie.

Wnioski i zalecenia:
Olej kwalifikuje się do dalszej eksploatacji. Proszę obserwować zmiany w 
kolejnym badaniu. Wykonać kolejne badanie zgodnie z przyjętym harmonogramem 
diagnostyki olejowej.","{""lepkość"": ""w_normie"", ""liczba_kwasowa"": ""w_normie"", ""klasa_czystości"": ""w_normie"", ""oksydacja"": ""brak_wykrycia"", ""sód"": ""lekko_podniesiony"", ""woda"": ""w_normie"", ""metale_zużyciowe"": ""w_normie"", ""stałe_ciała_obce"": ""w_normie"", ""pq_indeks"": ""w_normie""}",0,W NORMIE
P1702098,"Olej jest czarny. Oznaczona lepkość pogorszona. Liczba kwasowa podwyższona. 
Liczba zasadowa obniżona. Rezerwa alkaliczna (wzajemna relacja liczby kwasowej 
oraz zasadowej) została wyczerpana. Oksydacja poniesiona, jednak nie 
krytycznie. Nitracja podniesiona, jednak nie krytycznie. Sulfacja w normie. 
Poziom krzemu jest znacząco podniesiony, jednak uległ poprawie względem 
poprzedniego badania (możliwe pochodzenie to pył/kurz z otoczenia, elastyczne 
uszczelnienia na bazie silikonu lub z gazu zasilającego silnik). Poziom sodu 
podwyższony, jednak niższy niż w poprzednim badaniu. Zawartość wody w normie. 
Nie stwierdzono obecności glikolu oraz sadzy w oleju. Poziom metalicznych 
produktów zużycia w normie.

Wnioski i zalecenia:
Ze względu na dużą ilość zanieczyszczeń oraz wyczerpanie rezerwy alkalicznej 
zalecam wymienić olej na świeży. Przed zalaniem proszę wyczyścić układ olejowy 
w celu uniknięcia zanieczyszczenia świeżego oleju.  Obserwować zmiany w 
kolejnej analizie. Wykonać kolejne badanie w celu weryfikacji trendów zmian po 
przeprowadzeniu zabiegów korygujących.","{""lepkość"": ""pogorszony"", ""liczba_kwasowa"": ""podniesiony"", ""liczba_zasadowa"": ""obniżony"", ""nitracja"": ""podniesiony"", ""sulfacja"": ""w_normie"", ""krzem"": ""podniesiony"", ""sód"": ""podniesiony"", ""woda"": ""w_normie"", ""glikol"": ""brak_wykrycia"", ""sadza"": ""brak_wykrycia"", ""metale_zużyciowe"": ""w_normie""}",2,UWAGA
P1702136,"Oznaczona lepkość w normie. Liczba kwasowa oraz zasadowa w normie - olej posiada jeszcze wystarczającą rezerwę alkaliczną. Oksydacja i nitracja w normie - trend wzrostowy. Lekko podniesiony poziom krzemu - trend stabilny. Poziom metalicznych produktów zużycia w normie. 

Wnioski i zalecenia:
Olej kwalifikuje się do dalszej eksploatacji. Obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki.","{""lepkość"": ""w_normie"", ""liczba_kwasowa"": ""w_normie"", ""oksydacja"": ""podniesiony"", ""nitracja"": ""podniesiony"", ""krzem"": ""lekko_podniesiony"", ""metale_zużyciowe"": ""w_normie""}",1,W NORMIE
