Lab_Number,sample_description,parser_output,prediction,ground_truth
P1603477," Nie stwierdzono zawartości glikolu. Metaliczne produkty zużycia w normie. 

Wnioski i zalecenia:
Nie podali Państwo dokładnego oznaczenia oleju (producent i nazwa). Nie 
posiadamy referencyjnej próbki oleju świeżego z tego względu brakuje 
porównywalnych wartości świeżego oleju i dlatego  nie można sporządzić 
precyzyjnego komentarza na temat możliwych zmian dodatków oraz porównania widma 
IR. Ze względu na brak referencyjnej próbki oleju świeżego nie można określić 
zawartości wody oraz oksydacji wybraną przez Państwa metodą. Proszę przy 
kolejnym badaniu wysłać próbkę oleju świeżego. Proszę prowadzić ewidencję dot. 
zastosowanego typu oleju (nazwa producenta i oznaczenie oleju), uzupełnień, 
daty wymiany oleju oraz czasu pracy oleju. Proszę obserwować zmiany w kolejnym 
badaniu oraz wykonać kolejne badanie zgodnie z przyjętym harmonogramem 
diagnostyki olejowej.","{""glikol"": ""brak_wykrycia""}",1,WSKAZÓWKA
P1603489,"W próbce widoczne są drobne pojedyncze zanieczyszczenia stałe. Odczyn pH 
podniesiony, wszystkie   pozostałe oznaczone parametry znajdują się w 
dopuszczalnym przedziale.

Zalecenia i wnioski:
Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki płynu.","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""ph"": ""w_dopuszczalnym_zakresie""}",1,WSKAZÓWKA
P1603491,"Odczyn pH podniesiony, wszystkie   pozostałe oznaczone parametry znajdują się w 
dopuszczalnym przedziale.

Zalecenia i wnioski:
Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki płynu.","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""ph"": ""w_dopuszczalnym_zakresie""}",1,WSKAZÓWKA
P1603526,"Odczyn pH podniesiony, wszystkie   pozostałe oznaczone parametry znajdują się w 
dopuszczalnym przedziale.

Zalecenia i wnioski:
Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki płynu.","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""ph"": ""w_dopuszczalnym_zakresie""}",1,WSKAZÓWKA
P1604035,"W badanej próbce widoczne są drobne zanieczyszczenia.  Płyn ma charkterytyczny 
zapach. Odczyn pH podniesiony, wszystkie   pozostałe oznaczone parametry 
znajdują się w dopuszczalnym przedziale.

Zalecenia i wnioski:
Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki płynu.","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""ph"": ""w_dopuszczalnym_zakresie""}",1,WSKAZÓWKA
P1604043,"W próbce widoczna jest duża liczba zanieczyszczeń stałych (część z nich jest 
koloru czarnego, a część jasnobrązowego). Odczyn pH podniesiony, pozostałe 
oznaczone parametry znajdują się w dopuszczalnym przedziale.

Zalecenia i wnioski:
Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki płynu.","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""ph"": ""w_dopuszczalnym_zakresie""}",2,WSKAZÓWKA
P1604091,"Olej ma ciemną barwę. Oznaczona lepkość jest w normie. Liczba kwasowa i 
zasadowa w normie. Oksydacja, nitracja, sulfacja w normie. Poziom metalicznych 
produktów zużycia w normie. Zawartość wody w normie. Nie stwierdzono obecności 
glikolu oraz sadzy.

Wnioski i zalecenia:
Oznaczone parametry wskazują na dobrą kondycję oleju i urządzenia. Obserwować 
zmiany w następnej analizie. Wykonać kolejne badanie zgodnie z przyjętym 
harmonogramem diagnostyki olejowej w celu obserwacji trendu. Prowadzić 
ewidencję dot. dat wymian oleju.","{""lepkość"": ""w_normie"", ""liczba_kwasowa"": ""w_normie"", ""oksydacja"": ""w_normie"", ""nitracja"": ""w_normie"", ""sulfacja"": ""w_normie"", ""metale_zużyciowe"": ""w_normie"", ""woda"": ""w_normie"", ""glikol"": ""brak_wykrycia"", ""sadza"": ""brak_wykrycia""}",0,WSKAZÓWKA
P1604119,"Olej jest klarowny jednorodny, bez zawiesin. Klasa czystości oleju wymaga 
poprawy. Zawartość wody w normie. Poziom miedzi podniesiony, nie krytycznie, 
wskazuje zużycie i/lub korozję elementów zawierających w metalurgii miedź 
(elementy łożysk, chłodnice, mosiądz, brąz)  Indeks PQ, informujący o 
magnetycznych ferrocząstkach (niezależnie od rozmiaru cząstek) w normie. 
Własności reologiczne (lepkość i wskaźnik lepkości) w normie. Wnioski i 
zalecenia:  Stosując filtrację bocznikową oraz wymianę wkładów filtracyjnych, 
poprawić klasę czystości do poziomu wymaganego. Proszę obserwować zmiany w 
następnej analizie, przeprowadzić kolejne badanie oleju za 1500h pracy, licząc 
od chwili pobrania aktualnej próbki.","{""woda"": ""w_normie"", ""miedź"": ""w_normie"", ""pq_indeks"": ""w_normie"", ""lepkość"": ""w_normie"", ""wskaźnik_lepkości"": ""w_normie""}",1,UWAGA
P1604235,"Poziom metalicznych produktów zużycia w normie.  Poziom dodatków niezgodny z 
próbką referencyjna z naszej bazy danych.

Zalecenia i wnioski: 
 Zweryfikować informację dotyczące zastosowanego oleju. Wykonać kolejne 
badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.","{""metale_zużyciowe"": ""w_normie""}",0,WSKAZÓWKA
P1604287,"Poziom metalicznych produktów zużycia w normie.  Poziom dodatków niezgodny z 
próbką referencyjna z naszej bazy danych, trend stabilny.

Zalecenia i wnioski: 
 Zweryfikować informację dotyczące zastosowanego oleju. Wykonać kolejne 
badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.","{""metale_zużyciowe"": ""w_normie""}",0,WSKAZÓWKA
P1604393,"Oznaczona lepkość w normie. Zawartość wody w normie. Nie stwierdzono obecności 
glikolu. Stwierdzono obecność oleju napędowego. Poziom metalicznych produktów 
zużycia  w normie. Widmo IR wykazuje niezgodność z próbką referencyjną - może 
wskazywać na olej inny niż deklarowany lub zmieszanie.

Wnioski i zalecenia:
Skontrolować układ doprowadzania paliwa do silnika, aby zapobiec dalszemu 
przedostawaniu się paliwa do oleju. Proszę zweryfikować typ stosowanego oleju 
(producent i pełna nazwa) oraz przesłać próbkę oleju świeżego w celu 
weryfikacji, przy okazji następnej analizy. Obserwować zmiany w następnej 
analizie. Wykonać kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki 
olejowej.","{""lepkość"": ""w_normie"", ""woda"": ""w_normie"", ""glikol"": ""brak_wykrycia"", ""metale_zużyciowe"": ""w_normie""}",1,WSKAZÓWKA
P1604495,"Poziom metalicznych produktów zużycia w normie. Poziom dodatków niezgodny z 
próbką referencyjną z naszej bazy danych. Możliwa dolewka oleju innego typu.

Wnioski i zalecenia:
Obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie z 
przyjętym harmonogramem diagnostyki olejowej.","{""metale_zużyciowe"": ""w_normie""}",1,WSKAZÓWKA
P1604533,"Odczyn pH i rezerwa alkaliczna podniesione, wszystkie   pozostałe oznaczone 
parametry znajdują się w dopuszczalnym przedziale.

Zalecenia i wnioski:
Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki płynu.","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""rezerwa_alkaliczna"": ""w_dopuszczalnym_zakresie"", ""ph"": ""w_dopuszczalnym_zakresie""}",1,WSKAZÓWKA
P1604583,"Poziom pierwiastków dodatków niezgodny z próbką referencyjną. Poziom 
metalicznych produktów zużycia w normie.

Wnioski i zalecenia:
Poziom pierwiastków dodatków wskazuje na zmieszanie z olejem innego typu. 
Przeanalizować historię dolewek oleju.  Na dolewki stosować olej zgodny z 
wymaganiami producenta urządzenia. Obserwować zmiany w następnej analizie. 
Wykonać kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.","{""metale_zużyciowe"": ""w_normie""}",0,WSKAZÓWKA
P1604677,"Olej ma ciemną barwę. Oznaczona lepkość w normie. Stosunek liczby kwasowej do 
zasadowej w normie wskazuje na obniżoną rezerwę alkaliczną oleju. Oksydacja, 
nitracja, sulfacja w normie. Poziom metalicznych produktów zużycia w normie.

Wnioski i zalecenia:
Ze względu na obniżoną rezerwę alkaliczną oleju zalecam skrócenie czasu 
pomiędzy następnym badaniem do około 100 mth pracy silnika w celu obserwacji 
zmian.","{""lepkość"": ""w_normie"", ""liczba_kwasowa"": ""w_normie"", ""oksydacja"": ""w_normie"", ""nitracja"": ""w_normie"", ""sulfacja"": ""w_normie"", ""metale_zużyciowe"": ""w_normie""}",1,WSKAZÓWKA
P1604968,"Odczyn pH podniesiony, wszystkie   pozostałe oznaczone parametry znajdują się w 
dopuszczalnym przedziale.

Zalecenia i wnioski:
Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki płynu.","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""ph"": ""w_dopuszczalnym_zakresie""}",1,WSKAZÓWKA
P1605410,"Olej ma ciemną barwę. Oznaczona lepkość w normie. Liczba kwasowa i zasadowa 
jeszcze w normie. Oksydacja, nitracja, sulfacja w normie. Poziom metalicznych 
produktów zużycia w normie. Indeks PQ w normie.

Wnioski i zalecenia:
Stosunek liczby kwasowej do zasadowej wskazuje na stopniowe wyczerpywanie się 
rezerwy alkalicznej - zalecam skrócenie interwału pomiędzy kolejnymi badaniami 
w celu śledzenia zmian. Obserwować zmiany w następnej analizie. Wykonać kolejne 
badanie nie później niż za 250 mth pracy silnika.","{""lepkość"": ""w_normie"", ""liczba_kwasowa"": ""w_normie"", ""oksydacja"": ""w_normie"", ""nitracja"": ""w_normie"", ""sulfacja"": ""w_normie"", ""metale_zużyciowe"": ""w_normie"", ""pq_indeks"": ""w_normie""}",2,WSKAZÓWKA
P1605427,"Odczyn pH podniesiony, wszystkie pozostałe oznaczone parametry znajdują się w 
dopuszczalnym przedziale.

Zalecenia i wnioski:
Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki płynu.","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""ph"": ""w_dopuszczalnym_zakresie""}",1,WSKAZÓWKA
P1605620,"Odczyn pH podniesiony, wszystkie pozostałe oznaczone parametry znajdują się w 
dopuszczalnym przedziale.

Zalecenia i wnioski:
Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki płynu.","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""ph"": ""w_dopuszczalnym_zakresie""}",1,WSKAZÓWKA
P1605631,"Odczyn pH podniesiony, wszystkie   pozostałe oznaczone parametry znajdują się w 
dopuszczalnym przedziale.

Zalecenia i wnioski:
Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki płynu.","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""ph"": ""w_dopuszczalnym_zakresie""}",1,WSKAZÓWKA
P1605632,"Odczyn pH podniesiony, wszystkie   pozostałe oznaczone parametry znajdują się w 
dopuszczalnym przedziale.

Zalecenia i wnioski:
Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki płynu.","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""ph"": ""w_dopuszczalnym_zakresie""}",1,WSKAZÓWKA
P1605638,"Odczyn pH podniesiony, wszystkie   pozostałe oznaczone parametry znajdują się w 
dopuszczalnym przedziale.

Zalecenia i wnioski:
Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki płynu.","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""ph"": ""w_dopuszczalnym_zakresie""}",1,WSKAZÓWKA
P1605642,"Odczyn pH podniesiony, wszystkie   pozostałe oznaczone parametry znajdują się w 
dopuszczalnym przedziale.

Zalecenia i wnioski:
Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki płynu.","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""ph"": ""w_dopuszczalnym_zakresie""}",1,WSKAZÓWKA
P1700327,"Odczyn pH podniesiony, wszystkie   pozostałe oznaczone parametry znajdują się w 
dopuszczalnym przedziale.

Zalecenia i wnioski:
Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki płynu.","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""ph"": ""w_dopuszczalnym_zakresie""}",1,WSKAZÓWKA
P1700357,"Zawartość glikolu jest nieco wyższa niż dopuszczalna. Zaobserwowano pojedycncze 
zanieczyszczenia o czarnej barwie. Wszystkie pozostałe oznaczone parametry 
znajdują się w dopuszczalnym przedziale.

Zalecenia i wnioski:
Zalecam rozcieńczyć płyn za pomocą wody demineralizowanej. Obserwować zmiany w 
następnej analizie.  Wykonać badanie kolejnej próbki zgodnie z przyjętym 
programem diagnostyki płynu.","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""glikol"": ""w_dopuszczalnym_zakresie""}",0,WSKAZÓWKA
P1700591,"Olej ma ciemną barwę.  Oznaczona lepkość w normie. Poziom metalicznych 
produktów zużycia w normie. Liczby kwasowa i zasadowa w normie - olej posiada 
jeszcze wystarczającą rezerwę alkaliczną. Oksydacja, nitracja, sulfacja w 
normie. Indeks PQ w normie. Odczyn pH w normie.

Wnioski i zalecenia:
Olej kwalifikuje się do dalszej eksploatacji. Zauważalny wzrostowy trend 
zawartości żelaza - zaleca się obserwację trendu. Wykonać kolejne badanie za 
ok. 200 mth pracy silnika.","{""lepkość"": ""w_normie"", ""metale_zużyciowe"": ""w_normie"", ""liczba_kwasowa"": ""w_normie"", ""oksydacja"": ""w_normie"", ""nitracja"": ""w_normie"", ""sulfacja"": ""w_normie"", ""pq_indeks"": ""w_normie"", ""ph"": ""w_normie""}",1,WSKAZÓWKA
P1700691,"Odczyn pH podniesiony, wszystkie   pozostałe oznaczone parametry znajdują się w 
dopuszczalnym przedziale.

Zalecenia i wnioski:
Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki płynu.","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""ph"": ""w_dopuszczalnym_zakresie""}",1,WSKAZÓWKA
P1700872,"Odczyn pH podniesiony, wszystkie   pozostałe oznaczone parametry znajdują się w 
dopuszczalnym przedziale.

Zalecenia i wnioski:
Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki płynu.","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""ph"": ""w_dopuszczalnym_zakresie""}",1,WSKAZÓWKA
P1700874,"Odczyn pH podniesiony, wszystkie   pozostałe oznaczone parametry znajdują się w 
dopuszczalnym przedziale.

Zalecenia i wnioski:
Obserwować zmiany w następnej analizie.  Wykonać badanie kolejnej próbki 
zgodnie z przyjętym programem diagnostyki płynu.","{""pozostałe_parametry"": ""w_dopuszczalnym_zakresie"", ""ph"": ""w_dopuszczalnym_zakresie""}",1,WSKAZÓWKA
P1701267,"Olej jest mętny. Oznaczona lepkość wyższa niż oczekiwana. Rezerwa alkaliczna 
(wzajemna relacja liczby kwasowej oraz zasadowej) w normie. Nie stwierdzono 
niepokojącej oksydacji. Nitracja i sulfacja w normie. Poziom metalicznych 
produktów zużycia w normie.  Indeks PQ, informujący o magnetycznych 
ferrocząstkach (niezależnie od rozmiaru cząstek) w normie.

Wnioski i zalecenia:
Prowadzić ewidencję dot.  uzupełnień, daty wymiany oleju oraz czasu pracy 
oleju. Informacje te są przydatne w trakcie analizy uzyskanych wyników. Proszę 
sprawdzić (np. w dokumentacji technicznej) czy oznaczona lepkość spełnia 
wymagania. Jeżeli nie, wówczas zalecam wymianę oleju na świeży. Jeżeli 
oznaczona lepkość spełnia wymagania urządzenia wówczas zalecam obserwować 
zmiany w kolejnym badaniu  przysłać kolejną próbkę do badania w celu 
weryfikacji trendów nie później niż za 250 godzin pracy od momentu poboru 
aktualnej  próbki.","{""liczba_kwasowa"": ""w_normie"", ""rezerwa_alkaliczna"": ""w_normie"", ""oksydacja"": ""brak_wykrycia"", ""nitracja"": ""w_normie"", ""sulfacja"": ""w_normie"", ""metale_zużyciowe"": ""w_normie"", ""pq_indeks"": ""w_normie""}",2,WSKAZÓWKA
P1701397,"Poziom cząstek poszczególnych kategorii : zużycie ścierne, zużycie adhezyjne, 
zużycie niemetaliczne  są lekko podniesione. Pozostałe kategorie w normie. 
Właściwości reologiczne (lepkość kinematyczna, wskaźnik lepkości) w normie. 
Liczba kwasowa i zasadowa w normie. Ich wzajemna relacja wskazuje na dużą 
rezerwę alkaliczną. Klasa czystości w zakresie granicznym. Zawartość wody w 
normie. Poziom metalicznych produktów zużycia w normie. Zawartość stałych ciał  
obcych w normie. Indeks PQ w normie.

Wnioski i zalecenia:
Zalecam wymienić filtry oleju. Proszę obserwować zmiany w kolejnym badaniu. 
Proszę przysłać kolejną próbkę do badań po przeprowadzeniu zabiegów 
korygujących.","{""lepkość"": ""w_normie"", ""wskaźnik_lepkości"": ""w_normie"", ""liczba_kwasowa"": ""w_normie"", ""klasa_czystości"": ""w_zakresie_granicznym"", ""woda"": ""w_normie"", ""metale_zużyciowe"": ""w_normie"", ""stałe_ciała_obce"": ""w_normie"", ""pq_indeks"": ""w_normie""}",0,WSKAZÓWKA
P1701411,"Olej ma ciemną barwę. Liczba kwasowa jest większa od liczby zasadowej, nastąpiło całkowite wyczerpanie rezerwy alkalicznej. Oznaczona lepkość w normie. 

Oksydacja, nitracja oraz sulfacja w normie. Poziom metalicznych 

produktów zużycia oraz indeks PQ w normie. Poziom na jakim znajduje się krzem uległ znaczącej poprawie względem poprzedniego badania.


Wnioski i zalecenia:
Ze względu na wyczerpanie rezerwy alkalicznej olej nie nadaje się do dalszej eksploatacji, dlatego zalecam wymianę oleju na świeży.","{""lepkość"": ""w_normie"", ""oksydacja"": ""w_normie"", ""nitracja"": ""w_normie"", ""sulfacja"": ""w_normie"", ""pq_indeks"": ""w_normie"", ""metale_zużyciowe"": ""w_normie""}",2,UWAGA
