Probe,Lab_Number,Prediction,Overall_Assessment_pred_file,Overall_Interpretation,Overall_Assessment_data
1,P1401047,0,0,Wszystkie uzyskane wartości znajdują się w przedziałach dopuszczalnych. Zalecenia i wnioski: Skontrolować i poprawić szczelność układu olejowego w zakresie wykrytych zanieczyszczeń. Wykonać kolejne badanie zgodnie z przyjętym programem diagnostyki olejowej.,W NORMIE
1,P1401059,1,0,Wszystkie oznaczenia znajdują się w dopuszczalnym przedziale. Zalecania i wnioski: Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.,W NORMIE
1,P1401224,2,2,Poziom cynku i fosforu podwyższony powyżej dopuszczalnego poziomu. Pozostałe oznaczenia w normie. Zalecenia i wnioski: Podwyższony poziom cynku wskazuje na stosowanie na dolewki oleju innego typu. Na dolewki stosować olej wg DTR. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.,UWAGA
1,P1401225,2,1,"Poziom cynku podwyższony, nie krytycznie. Pozostałe oznaczenia w normie. Zalecenia i wnioski: Podwyższony poziom cynku wskazuje na zastosowanie na dolewki oleju innego typu. Na dolewki stosować olej wg DTR. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.",WSKAZÓWKA
1,P1401076,2,2,"Poziom fosforu podwyższony, w zakresie granicznym. Poziom cynku powyżej dopuszczalnej granicy. Pozostałe oznaczenia w znajdują się w dopuszczalnym przedziale. Zalecenia i wnioski: Poziomy podwyższone cynku i fosforu wskazują na zastosowanie na dolewki oleju innego typu. Na dolewki stosować olej wg DTR. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.",UWAGA
1,P1401103,2,1,"Poziom cynku i fosforu mocno podwyższony, w zakresie granicznym. Pozostałe oznaczenia w normie. Zalecenia i wnioski: Poziomy podwyższone cynku i fosforu wskazują na zastosowanie na dolewki oleju innego typu. Na dolewki stosować olej wg DTR. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.",WSKAZÓWKA
1,P1401104,2,1,"Poziom cynku i fosforu podwyższony, nie krytycznie. Pozostałe oznaczenia w normie. Zalecenia i wnioski: Poziomy podwyższone cynku i fosforu wskazują na zastosowanie na dolewki oleju innego typu. Na dolewki stosować olej wg DTR. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.",WSKAZÓWKA
1,P1401114,2,1,"Poziom cynku i fosforu podwyższony, nie krytycznie. Pozostałe oznaczenia w normie. Zalecenia i wnioski: Poziomy podwyższone cynku i fosforu wskazują na zastosowanie na dolewki oleju innego typu. Na dolewki stosować olej wg DTR. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.",WSKAZÓWKA
1,P1401205,2,2,"Poziom fosforu i cynku podwyższony,  powyżej dopuszczalnej granicy. Pozostałe oznaczenia w znajdują się w dopuszczalnym przedziale. Zalecenia i wnioski: Wysoki poziom  cynku i fosforu wskazują na zastosowanie na dolewki oleju innego typu. Na dolewki stosować olej wg DTR. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.",UWAGA
1,P1401206,0,0,Wszystkie oznaczone parametry mieszczą się w dopuszczalnym przedziale. Zalecenia i wnioski: Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.,W NORMIE
1,P1401161,2,2,"Uzyskane wyniki dla wszystkich pierwiastków charakteryzuje stabilny trend, wartości nie uległy znaczącej zmianie od poprzedniej analizy. Poziom cynku i fosforu powyżej dopuszczalnej granicy. Podwyższony poziom sodu. Zalecenia i wnioski: Podwyższony poziom fosforu i cynku może wskazywać na zmieszanie z olejem innego typu, bądź smarem. Obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie z przyjętym programem diagnostyki olejowej.",UWAGA
1,P1401180,2,2,Poziom cynku powyżej dopuszczalnej granicy. Poziom fosforu powyżej dopuszczalnej granicy. Poziom sodu podwyższony w zakresie granicznym. Pozostałe oznaczenia w normie. Zalecenia i wnioski: Poziomy podwyższone cynku i fosforu wskazują na zastosowanie na dolewki oleju innego typu. Podwyższony poziom sodu może wskazywać na nieszczelność układu chłodzenia. Na dolewki stosować olej wg DTR. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.,UWAGA
1,P1401199,2,1,"Poziom metalicznych produktów zużycia w normie, świadczy o braku intensywnych procesów zużyciowych i korozyjnych w układzie olejowym. Poziom cynku powyżej dopuszczalnej granicy, w porównaniu z poprzednim badaniem nastąpił znaczący spadek. Poziom fosforu podwyższony, nie krytycznie, w porównaniu z poprzednim badaniem nastąpił znaczący spadek. Poziom sodu podwyższony, nie krytycznie, może wskazywać na nieszczelności z układu chłodzenia. Zalecenia i wnioski: Podwyższony poziom fosforu i cynku może wskazywać na zmieszanie z olejem innego typu, bądź smarem. Obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie z przyjętym programem diagnostyki olejowej. Stosować na dolewki olej zgodny z DTR. Wykonać kontrolę szczelności układu chłodzenia.",WSKAZÓWKA
1,P1401198,1,1,"Poziom cynku i fosforu podwyższony. Zalecenia i wnioski: Podwyższony poziom fosforu i cynku może wskazywać na zmieszanie z olejem innego typu, bądź smarem. Obserwować zmiany w następnej analizie. Wykonać kolejne badanie zgodnie z przyjętym programem diagnostyki olejowej. Stosować na dolewki olej zgodny z DTR",WSKAZÓWKA
1,P1401203,1,1,"Poziom cynku i fosforu podwyższony, nie krytycznie. Pozostałe oznaczenia w normie. Zalecenia i wnioski: Poziomy podwyższone cynku i fosforu wskazują na zastosowanie na dolewki oleju innego typu. Na dolewki stosować olej wg DTR. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.",WSKAZÓWKA
1,P1401200,1,0,"Poziom cynku podwyższony, nie krytycznie. Pozostałe oznaczenia w normie. Zalecenia i wnioski: Podwyższony poziom cynku, wskazuje na zastosowanie na dolewki oleju innego typu. Na dolewki stosować olej wg DTR. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.",W NORMIE
1,P1401218,2,1,"Poziom cynku podwyższony, nie krytycznie. Pozostałe oznaczenia w normie. Zalecenia i wnioski: Podwyższony poziom cynku wskazuje na zastosowanie na dolewki oleju innego typu. Na dolewki stosować olej wg DTR. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.",WSKAZÓWKA
1,P1401217,2,1,"Poziom cynku i fosforu podwyższony, nie krytycznie. Pozostałe oznaczenia w normie. Zalecenia i wnioski: Podwyższony poziom cynku i fosforu wskazuje na zastosowanie na dolewki oleju innego typu. Na dolewki stosować olej wg DTR. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.",WSKAZÓWKA
1,P1401281,2,2,"Poziom fosforu i cynku podwyższony,  powyżej dopuszczalnej granicy. Stabilny trend. Pozostałe oznaczenia w znajdują się w dopuszczalnym przedziale. Zalecenia i wnioski: Wysoki poziom  cynku i fosforu wskazują na zastosowanie na dolewki oleju innego typu. Na dolewki stosować olej wg DTR. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.",UWAGA
1,P1401226,1,1,"Poziom cynku podwyższony, nie krytycznie - trend stabilny. Pozostałe oznaczenia w normie. Zalecenia i wnioski: Podwyższony poziom cynku wskazuje na stosowanie na dolewki oleju innego typu. Na dolewki stosować olej wg DTR. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.",WSKAZÓWKA
1,P1401376,0,1,Wartości zużycia mieszczą się w normalnym zakresie. Oznaczona lepkość w normia. Liczba zasadowa w normie. Liczba  kwasowa podwyższona. Na widmie w podczerwienii FTIR brak niepokojącej oksydacji i nitracji. Zalecenia i wnioski: Obserwować zmiany w następnej analizie. Wykonać kolejne badanie próbki oleju nie później niż za kwartał.,WSKAZÓWKA
1,P1401374,0,1,"Wartości zużycia lekko podniesione. Oznaczona lepkość lekko podwyższona. Liczba zasadowa obniżona w porównaniu z olejem świeżym. Liczba kwasowa podwyższona. Na widmie w podczerwienii FTIR brak niepokojącej oksydacji i nitracji. Zalecenia i wnioski: Obserwować zmiany w następnej analizie. W celu śledzenia zmian trendu, przesłać do badania kolejną próbkę po 200 h pracy lub po tym czasie wymienić olej.",WSKAZÓWKA
1,P1401247,0,0,"Znikomy poziom metalicznych produktów zużycia, świadczy o braku intensywnych procesów zużciowych i korozyjnych w układzie olejowym. Własności reologiczne oraz poziom dodatków uszlachetniających w normie. Liczba kwasowa w normie. Liczba zasadowa w normie. Nie stwierdzono podwyższonej oksydacji oraz nitracji.  Brak zanieczyszczeń wskazujących na nieszczelności z układu chłodzenia. Zalecenia i wnioski: Wszystkie uzyskane wartości znajdują się w dopuszczalnym przedziale. Obserwować zmiany w następnej analizie. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.",W NORMIE
1,P1401269,0,0,Wszystkie oznaczone parametry znajdują się w normalnym/dopuszczalnym przedziale. Zalecenia i wnioski: Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.,W NORMIE
1,P1401268,1,1,"Poziom cynku i fosforu podwyższony, nie krytycznie. Pozostałe oznaczenia w normie.  W porównaniu z poprzednia próbka zauważalny stabilny trend. Zalecenia i wnioski: Poziomy podwyższone cynku i fosforu wskazują na zastosowanie na dolewki oleju innego typu. Na dolewki stosować olej wg DTR. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.",WSKAZÓWKA
1,P1401270,0,0,Wszystkie oznaczone parametry znajdują się w normalnym/dopuszczalnym przedziale. Zalecenia i wnioski: Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.,W NORMIE
1,P1401362,1,1,"Poziom cynku i fosforu podwyższony, nie krytycznie. Pozostałe oznaczenia w normie. Zalecenia i wnioski: Podwyższony poziom cynku i fosforu, wskazuje na zastosowanie na dolewki oleju innego typu. Na dolewki stosować olej wg DTR. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.",WSKAZÓWKA
1,P1401363,0,0,Wszystkie oznaczone pierwiastki znajdują się w dopuszczalnych granicach. Zalecenia i wnioski: Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.,W NORMIE
1,P1401292,1,1,"Poziom cynku i fosforu podwyższony, nie krytycznie, stabilny trend. Pozostałe oznaczenia w normie. Zalecenia i wnioski: Podwyższony poziom cynku i fosforu może wskazywać na zastosowanie na dolewki oleju innego typu. Na dolewki stosować olej wg DTR. Cynk w połączeniu z miedzią może wskazywać na zużycie /korozję elementów mosiężnych. Cynk jest stosowany również jako  składnik farb. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej. Wykonać badanie próbki oleju stosowanego na dolewki.",WSKAZÓWKA
1,P1401325,1,2,"W efekcie zużycia i korozji poziom żelaza, miedzi i glinu lekko podwyższony. Poziom krzemu mocno podwyższony. Poziom sodu i  potasu podwyższony. Oznaczona lepkość w normie. Liczba kwasowa podwyższona, nie krytycznie. Rezerwa alkaliczna (liczba zasadowa) mocno obniżona, krytycznie. Odczyn pH obniżony.  Zalecenia i wnioski: Podwyższony poziom sodu i potasu może wskazywać na nieszczelności z układu chłodzenia. Wysoki poziom krzemu wskazuje na pochodne ze spalanego biogazu. Ze względu na obniżoną rezerwę alkaliczną zalecam wymienić olej na świeży.",UWAGA
1,P1401364,0,0,Wszystkie oznaczone pierwiastki w normie. Zalecenia i wnioski: Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.,W NORMIE
1,P1601733,1,1,,WSKAZÓWKA
1,P1401361,2,2,Poziom cynku powyżej dopuszczalnej granicy. Poziom fosforu powyżej dopuszczalnej granicy. Zawartość  pozostałych pierwiastków w normie. Zalecenia i wnioski: Poziomy podwyższone cynku i fosforu wskazują na zastosowanie na dolewki oleju innego typu. Na dolewki stosować olej wg DTR. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.,UWAGA
1,P1401360,0,0,,W NORMIE
1,P1401369,1,1,Poziom fosforu i cynku podwyższony. Pozostałe oznaczenia w znajdują się w dopuszczalnym przedziale. Zalecenia i wnioski: Podwyższone poziomy cynku i fosforu wskazują na zastosowanie na dolewki oleju innego typu. Na dolewki stosować olej wg DTR. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.,WSKAZÓWKA
1,P1401543,0,1,,WSKAZÓWKA
1,P1401400,1,0,Metale zużyciowe w normalnym zakresie. Taki poziom zużycia jest typowy dla okresu rozruchu urządzenia. Poziom dodatków w normie.,W NORMIE
1,P1401465,1,1,"Poziom fosforu i cynku podwyższony, trend stabilny. Pozostałe oznaczenia w znajdują się w dopuszczalnym przedziale. Zalecenia i wnioski: Podwyższony poziom cynku i fosforu może wskazywać na zastosowanie na dolewki oleju innego typu. Na dolewki stosować olej wg DTR. Cynk w połączeniu z miedzią może wskazywać na zużycie /korozję elementów mosiężnych. Cynk jest stosowany również jako  składnik farb. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej. Wykonać badanie próbki oleju stosowanego na dolewki.",WSKAZÓWKA
1,P1401464,1,0,Wszystkie oznaczenia znajdują się w dopuszczalnym przedziale. Zalecenia i wnioski: Przy zachowaniu zbliżonych warunków eksploatacyjnych oraz czynności obsługowych olej kwalifikuje się do dalszej eksploatacji bez podejmowania czynności korygujących. Wykonać kolejne badanie zgodnie z przyjętym harmonogramem diagnostyki olejowej.,W NORMIE
1,P1401628,0,0,Wszystkie oznaczone pierwiastki znajdują się w dopuszczalnych granicach. Zalecenia i wnioski: Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.,W NORMIE
1,P1401627,0,0,Wszystkie oznaczone pierwiastki znajdują się w dopuszczalnych granicach. Zalecenia i wnioski: Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.,W NORMIE
1,P1401587,0,2,"W efekcie zużycia i/lub korozji poziom żelaza lekko podwyższony.. W porównaniu z olejem świeżym, lepkość podwyższona, nie krytycznie. Poziom dodatków uszlachetniających w normie. Rezerwa alkaliczna (liczba zasadowa) mocno obniżona. Liczba kwasowa podwyższona. W oleju nie stwierdzono zanieczyszczeń mogących wskazywać na nieszczelności z układów chłodzenia czy wnikanie zanieczyszczeń z zewnątrz przez uszkodzenia i/lub niesprawności filtrów powietrza. Zalecenia i wnioski: Wymienić olej na świeży. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.",UWAGA
1,P1401626,0,0,Wszystkie oznaczone pierwiastki znajdują się w dopuszczalnych granicach. Zalecenia i wnioski: Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.,W NORMIE
1,P1401466,1,1,"Poziom fosforu i cynku podwyższony, trend stabilny. Pozostałe oznaczenia w znajdują się w dopuszczalnym przedziale. Zalecenia i wnioski: Podwyższony poziom cynku i fosforu może wskazywać na zastosowanie na dolewki oleju innego typu. Na dolewki stosować olej wg DTR. Cynk w połączeniu z miedzią może wskazywać na zużycie /korozję elementów mosiężnych. Cynk jest stosowany również jako  składnik farb. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej. Wykonać badanie próbki oleju stosowanego na dolewki.",WSKAZÓWKA
1,P1401585,0,1,"W efekcie zużycia i/lub korozji poziom żelaza i miedzi podwyższony. Poziom krzemu podwyższony, może wskazywać na kurz z otoczenia i/lub elastyczne uszczelniania, pasty montażowe bądź smar na bazie silikonów. Rezerwa alkaliczna (liczba zasadowa) na poziomie granicznym. Liczba kwasowa w normie. Oznaczona lepkość podwyższona. Zalecenia i wnioski: W celu śledzenia trendu zmian parametrów wykonać badanie kolejnej próbki nie później niż za 500h pracy. Jeżeli nie zamierzacie Państwo badać oleju, zalecamy jego wymianę na świeży.",WSKAZÓWKA
1,P1401562,1,1,"Poziom cynku podwyższony, nie krytycznie - trend stabilny. Pozostałe oznaczenia w normie. Zalecenia i wnioski: Podwyższony poziom cynku i fosforu może wskazywać na zastosowanie na dolewki oleju innego typu. Cynk może pochodzić z metalurgii smarowanych elementów np. w połączeniu z miedzią może wskazywać na zużycie /korozję elementów mosiężnych. Cynk jest stosowany również jako składnik farb. Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej. Wykonać badanie próbki oleju stosowanego na dolewki. Na dolewki stosować olej wg DTR.",WSKAZÓWKA
1,P1401503,2,0,"Wszystkie oznaczone pierwiastki prezentują stabilny trend, znajdują się w dopuszczalnym przedziale. W porównaniu z ostatnim badaniem zauważalny wzrost miedzi. Zalecenia i wnioski: Wykonać badanie kolejnej próbki wg przyjętego programu diagnostyki olejowej.",W NORMIE
